track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Fill Me In,0.682,0.744,8.0,-6.981,1.0,0.0365,0.376,0.00951,0.06,0.827,132.493,4.0
Starlight - Radio Edit,0.739,0.679,5.930596285434995,-5.079,1.0,0.0373,0.000424,0.0187,0.389,0.786,127.487,4.0
Livin' It Up,0.875,0.774,6.0,-4.087,1.0,0.309,0.0547,0.03046073657362849,0.0414,0.606,106.027,4.0
Don't Stop Movin',0.822,0.672,7.0,-6.133,1.0,0.0329,0.0285,0.03046073657362849,0.213,0.91,117.033,4.0
Turn Off The Light,0.589,0.687,2.0,-6.222,1.0,0.097,0.0778,0.000289,0.419,0.649,180.215,4.0
Heard It All Before,0.697,0.925,3.0,-4.209,1.0,0.216,0.0614,0.03046073657362849,0.095,0.678,96.951,4.0
Missing You,0.612,0.579,1.0,-6.417,1.0,0.0553,0.285,0.03046073657362849,0.0556,0.716,86.31,4.0
If You Come Back,0.582,0.707,10.0,-4.487,1.0,0.0319,0.0822,0.03046073657362849,0.0467,0.701,78.375,4.0
When It's Over - David Kahne Main,0.675,0.775,4.0,-5.772,1.0,0.0522,0.0387,0.03046073657362849,0.383,0.933,99.945,4.0
Ain't It Funny,0.711,0.87,5.930596285434995,-4.513,1.0,0.0484,0.0804,0.000306,0.138,0.569,99.843,4.0
Music (feat. Marvin Gaye),0.897,0.466,10.0,-9.053,1.0,0.203,0.187,1.35e-06,0.0757,0.884,100.01,4.0
Promise,0.751,0.568,5.0,-5.431,1.0,0.0872,0.136,0.03046073657362849,0.0288,0.646,128.002,4.0
I'm Already There,0.377,0.395,3.0,-8.622,1.0,0.0332,0.61,0.03046073657362849,0.295,0.221,133.296,4.0
Rise,0.558,0.481,8.0,-9.487,1.0,0.026,0.315,8.83e-06,0.09,0.631,144.673,4.0
Until The End Of Time,0.757,0.706,8.0,-6.665,1.0,0.203,0.0267,0.03046073657362849,0.197,0.375,96.976,4.0
